Civilisation,Ship Type,Name,Class,Comments
Culture Eccentric,GSV,"Quietly Confident,later Sleeper Service",Plate,"Acts as a storage ship for biological persons in stasis. The name Sleeper Service is a pun on sleeping car (transport) and sleeper agent (espionage). It also secretly converts itself to be ""mostly engine"" so it can move unexpectedly quickly - a parallel to sleeper cars (racing). Standard Plate class top cruising speed is 104,000 x light-speed, increased by these modifications to 233,500. Originally controlled by three Minds, two of which were removed when the other became Eccentric. Parent ship of the Unacceptable Behaviour, Jaundiced Outlook, T3OU 4, T3OU 118 and T3OU 736."
Culture Sabbaticaler,GSV,No Fixed Abode,Ex-Equator,"No fixed abode is a legal term for someone without a fixed address, such as a homeless person. Its name is an observation on itself as a moving starship inherently has no fixed abode."
Culture Ulterior,,Highpoint,,"Possibly not a ship (described only as an ""Ulterior Entity"")."
"Culture Ulterior (AhForgetIt Tendency), Eccentric",,Shoot Them Later,,
Culture Ulterior (Zetetic Elench),Explorer Ship,Appeal To Reason,,Part of the Stargazer Clan.
Culture Ulterior (Zetetic Elench),Explorer Ship,Break Even,,Part of the Stargazer Clan.
Culture Ulterior (Zetetic Elench),Explorer Ship,Long View,,Part of the Stargazer Clan.
Culture Ulterior (Zetetic Elench),Explorer Ship,Peace Makes Plenty,,Part of the Stargazer Clan.
Culture Ulterior (Zetetic Elench),Explorer Ship,Sober Counsel,,Part of the Stargazer Clan.
Culture Ulterior (Zetetic Elench),Explorer Ship,Within Reason,,Part of the Stargazer Clan.
Affront,,Frightspear,,
Affront,Light Cruiser,Furious Purpose,Meteorite,
Affront,,Kiss The Blade,,
Affront,,Riptalon,,
Affront,,SacSlicer II,,
Affront,,Wingclipper,,
Affront,Battleship,Xenoclast,,
